 The Shawshank Redemption (1994)
 The Godfather (1972)
 The Godfather: Part II (1974)
 The Dark Knight (2008)
 12 Angry Men (1957)
 Schindler's List (1993)
 The Lord of the Rings: The Return of the King (2003)
 Pulp Fiction (1994)
" The Good, the Bad and the Ugly (1966)"
 Fight Club (1999)
 The Lord of the Rings: The Fellowship of the Ring (2001)
 Forrest Gump (1994)
 Star Wars: Episode V - The Empire Strikes Back (1980)
 Inception (2010)
 The Lord of the Rings: The Two Towers (2002)
 One Flew Over the Cuckoo's Nest (1975)
 Goodfellas (1990)
 The Matrix (1999)
 Seven Samurai (1954)
 City of God (2002)
 Se7en (1995)
 Star Wars: Episode IV - A New Hope (1977)
 The Silence of the Lambs (1991)
 It's a Wonderful Life (1946)
 Life Is Beautiful (1997)
 The Usual Suspects (1995)
 Spirited Away (2001)
 Saving Private Ryan (1998)
 Léon: The Professional (1994)
 The Green Mile (1999)
 Interstellar (2014)
 Psycho (1960)
 American History X (1998)
 City Lights (1931)
 Once Upon a Time in the West (1968)
 Casablanca (1942)
 Modern Times (1936)
 The Intouchables (2011)
 The Pianist (2002)
 The Departed (2006)
 Terminator 2: Judgment Day (1991)
 Back to the Future (1985)
 Whiplash (2014)
 Rear Window (1954)
 Raiders of the Lost Ark (1981)
 Gladiator (2000)
 The Lion King (1994)
 The Prestige (2006)
 Apocalypse Now (1979)
 Memento (2000)
 Avengers: Infinity War (2018)
 Alien (1979)
 The Great Dictator (1940)
 Cinema Paradiso (1988)
 Grave of the Fireflies (1988)
 Sunset Boulevard (1950)
 The Lives of Others (2006)
 Dr.Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
 Paths of Glory (1957)
 The Shining (1980)
 Django Unchained (2012)
 WALL·E (2008)
 Princess Mononoke (1997)
 Witness for the Prosecution (1957)
 American Beauty (1999)
 The Dark Knight Rises (2012)
 Oldboy (2003)
 Aliens (1986)
 Coco (2017)
 Once Upon a Time in America (1984)
 Das Boot (1981)
 Citizen Kane (1941)
 Braveheart (1995)
 Vertigo (1958)
 North by Northwest (1959)
 Reservoir Dogs (1992)
 Star Wars: Episode VI - Return of the Jedi (1983)
 M (1931)
 Your Name. (2016)
 Dangal (2016)
 Requiem for a Dream (2000)
 Amadeus (1984)
 Like Stars on Earth (2007)
 Lawrence of Arabia (1962)
 Eternal Sunshine of the Spotless Mind (2004)
 A Clockwork Orange (1971)
 Amélie (2001)
 3 Idiots (2009)
 2001: A Space Odyssey (1968)
 Double Indemnity (1944)
 Toy Story (1995)
 Taxi Driver (1976)
 Singin' in the Rain (1952)
 Full Metal Jacket (1987)
 Inglourious Basterds (2009)
 Bicycle Thieves (1948)
 To Kill a Mockingbird (1962)
 The Kid (1921)
 The Sting (1973)
 Toy Story 3 (2010)
